"","Pools","Year","Max_RSYL","Max_AMAC","Max_Depth","Max_Length","Max_Width","Park","LatDD","LongDD","Freq","Mean.Lat","State","PDSI"
"95","ANWRLMAD15-3",2004,NA,NA,NA,NA,NA,"MHN",46.96896,-68.0185,4,45.523678645614,"ME","-1.79"
"96","ANWRLMAD15-3",2005,NA,NA,NA,NA,NA,"MHN",46.96896,-68.0185,4,45.523678645614,"ME","-1.79"
"97","ANWRLMAD15-3",2006,NA,NA,NA,NA,NA,"MHN",46.96896,-68.0185,4,45.523678645614,"ME","-1.79"
"98","ANWRLMAD15-3",2007,NA,NA,NA,NA,NA,"MHN",46.96896,-68.0185,4,45.523678645614,"ME","-1.79"
"99","ANWRLMAD15-3",2008,NA,NA,NA,NA,NA,"MHN",46.96896,-68.0185,4,45.523678645614,"ME","-1.79"
"100","ANWRLMAD15-3",2009,NA,NA,NA,NA,NA,"MHN",46.96896,-68.0185,4,45.523678645614,"ME","-1.79"
"101","ANWRLMAD15-3",2010,NA,NA,NA,NA,NA,"MHN",46.96896,-68.0185,4,45.523678645614,"ME","-1.79"
"102","ANWRLMAD15-3",2011,NA,NA,NA,NA,NA,"MHN",46.96896,-68.0185,4,45.523678645614,"ME","-1.79"
"103","ANWRLMAD15-3",2012,NA,NA,NA,NA,NA,"MHN",46.96896,-68.0185,4,45.523678645614,"ME","-1.79"
"104","ANWRLMAD15-3",2013,NA,NA,NA,NA,NA,"MHN",46.96896,-68.0185,4,45.523678645614,"ME","-1.79"
"105","ANWRLMAD15-3",2014,NA,NA,NA,NA,NA,"MHN",46.96896,-68.0185,4,45.523678645614,"ME","-1.79"
"91","ANWRLMAD15-3",2015,0,29,43.18,13.6,10.93,"MHN",46.96896,-68.0185,4,45.523678645614,"ME","-1.79"
"92","ANWRLMAD15-3",2016,1,30,64.77,16,13,"MHN",46.96896,-68.0185,4,45.523678645614,"ME","-1.79"
"93","ANWRLMAD15-3",2017,52,61,90.1,22.25,19.1,"MHN",46.96896,-68.0185,4,45.523678645614,"ME","-1.79"
"94","ANWRLMAD15-3",2018,46,62,68.5,17,13.8,"MHN",46.96896,-68.0185,4,45.523678645614,"ME","-1.79"
"158","ANWROBAR",2004,NA,NA,NA,NA,NA,"MHN",46.948287,-67.858388,6,45.523678645614,"ME","-1.79"
"159","ANWROBAR",2005,NA,NA,NA,NA,NA,"MHN",46.948287,-67.858388,6,45.523678645614,"ME","-1.79"
"160","ANWROBAR",2006,NA,NA,NA,NA,NA,"MHN",46.948287,-67.858388,6,45.523678645614,"ME","-1.79"
"161","ANWROBAR",2007,NA,NA,NA,NA,NA,"MHN",46.948287,-67.858388,6,45.523678645614,"ME","-1.79"
"162","ANWROBAR",2008,NA,NA,NA,NA,NA,"MHN",46.948287,-67.858388,6,45.523678645614,"ME","-1.79"
"163","ANWROBAR",2009,NA,NA,NA,NA,NA,"MHN",46.948287,-67.858388,6,45.523678645614,"ME","-1.79"
"164","ANWROBAR",2010,NA,NA,NA,NA,NA,"MHN",46.948287,-67.858388,6,45.523678645614,"ME","-1.79"
"165","ANWROBAR",2011,NA,NA,NA,NA,NA,"MHN",46.948287,-67.858388,6,45.523678645614,"ME","-1.79"
"166","ANWROBAR",2012,NA,NA,NA,NA,NA,"MHN",46.948287,-67.858388,6,45.523678645614,"ME","-1.79"
"152","ANWROBAR",2013,1,26,62,33,27,"MHN",46.948287,-67.858388,6,45.523678645614,"ME","-1.79"
"153","ANWROBAR",2014,33,27,47,24,27.7,"MHN",46.948287,-67.858388,6,45.523678645614,"ME","-1.79"
"154","ANWROBAR",2015,80,31,46.9,32.5,29.6,"MHN",46.948287,-67.858388,6,45.523678645614,"ME","-1.79"
"155","ANWROBAR",2016,51,20,33,33,30,"MHN",46.948287,-67.858388,6,45.523678645614,"ME","-1.79"
"156","ANWROBAR",2017,73,65,46.9,34.5,29.45,"MHN",46.948287,-67.858388,6,45.523678645614,"ME","-1.79"
"157","ANWROBAR",2018,45,102,40.6,32,20,"MHN",46.948287,-67.858388,6,45.523678645614,"ME","-1.79"
"1","ANWR35 I-1",2004,1,1,39.5,54.7,41.5,"MHN",46.94722222,-67.87555556,7,45.523678645614,"ME","-1.79"
"8","ANWR35 I-1",2005,NA,NA,NA,NA,NA,"MHN",46.94722222,-67.87555556,7,45.523678645614,"ME","-1.79"
"9","ANWR35 I-1",2006,NA,NA,NA,NA,NA,"MHN",46.94722222,-67.87555556,7,45.523678645614,"ME","-1.79"
"10","ANWR35 I-1",2007,NA,NA,NA,NA,NA,"MHN",46.94722222,-67.87555556,7,45.523678645614,"ME","-1.79"
"11","ANWR35 I-1",2008,NA,NA,NA,NA,NA,"MHN",46.94722222,-67.87555556,7,45.523678645614,"ME","-1.79"
"12","ANWR35 I-1",2009,NA,NA,NA,NA,NA,"MHN",46.94722222,-67.87555556,7,45.523678645614,"ME","-1.79"
"13","ANWR35 I-1",2010,NA,NA,NA,NA,NA,"MHN",46.94722222,-67.87555556,7,45.523678645614,"ME","-1.79"
"14","ANWR35 I-1",2011,NA,NA,NA,NA,NA,"MHN",46.94722222,-67.87555556,7,45.523678645614,"ME","-1.79"
"15","ANWR35 I-1",2012,NA,NA,NA,NA,NA,"MHN",46.94722222,-67.87555556,7,45.523678645614,"ME","-1.79"
"2","ANWR35 I-1",2013,5,18,62,57,31.5,"MHN",46.94722222,-67.87555556,7,45.523678645614,"ME","-1.79"
"3","ANWR35 I-1",2014,137,42,66,72.6,35,"MHN",46.94722222,-67.87555556,7,45.523678645614,"ME","-1.79"
"4","ANWR35 I-1",2015,13,9,58.42,83.85,37.2,"MHN",46.94722222,-67.87555556,7,45.523678645614,"ME","-1.79"
"5","ANWR35 I-1",2016,121,34,44.45,81,41,"MHN",46.94722222,-67.87555556,7,45.523678645614,"ME","-1.79"
"6","ANWR35 I-1",2017,190,100,58.4,70,46,"MHN",46.94722222,-67.87555556,7,45.523678645614,"ME","-1.79"
"7","ANWR35 I-1",2018,194,31,45.7,51,26.8,"MHN",46.94722222,-67.87555556,7,45.523678645614,"ME","-1.79"
"111","ANWRLoring Trail-C",2004,NA,NA,NA,NA,NA,"MHN",46.94605,-67.86478,5,45.523678645614,"ME","-1.79"
"112","ANWRLoring Trail-C",2005,NA,NA,NA,NA,NA,"MHN",46.94605,-67.86478,5,45.523678645614,"ME","-1.79"
"113","ANWRLoring Trail-C",2006,NA,NA,NA,NA,NA,"MHN",46.94605,-67.86478,5,45.523678645614,"ME","-1.79"
"114","ANWRLoring Trail-C",2007,NA,NA,NA,NA,NA,"MHN",46.94605,-67.86478,5,45.523678645614,"ME","-1.79"
"115","ANWRLoring Trail-C",2008,NA,NA,NA,NA,NA,"MHN",46.94605,-67.86478,5,45.523678645614,"ME","-1.79"
"116","ANWRLoring Trail-C",2009,NA,NA,NA,NA,NA,"MHN",46.94605,-67.86478,5,45.523678645614,"ME","-1.79"
"117","ANWRLoring Trail-C",2010,NA,NA,NA,NA,NA,"MHN",46.94605,-67.86478,5,45.523678645614,"ME","-1.79"
"118","ANWRLoring Trail-C",2011,NA,NA,NA,NA,NA,"MHN",46.94605,-67.86478,5,45.523678645614,"ME","-1.79"
"119","ANWRLoring Trail-C",2012,NA,NA,NA,NA,NA,"MHN",46.94605,-67.86478,5,45.523678645614,"ME","-1.79"
"120","ANWRLoring Trail-C",2013,NA,NA,NA,NA,NA,"MHN",46.94605,-67.86478,5,45.523678645614,"ME","-1.79"
"106","ANWRLoring Trail-C",2014,2,11,24,4.5,3,"MHN",46.94605,-67.86478,5,45.523678645614,"ME","-1.79"
"107","ANWRLoring Trail-C",2015,4,12,40.64,15.7,13,"MHN",46.94605,-67.86478,5,45.523678645614,"ME","-1.79"
"108","ANWRLoring Trail-C",2016,7,15,33.02,7.5,6.5,"MHN",46.94605,-67.86478,5,45.523678645614,"ME","-1.79"
"109","ANWRLoring Trail-C",2017,3,17,38.1,8.1,10.5,"MHN",46.94605,-67.86478,5,45.523678645614,"ME","-1.79"
"110","ANWRLoring Trail-C",2018,0,10,30.4,8,6,"MHN",46.94605,-67.86478,5,45.523678645614,"ME","-1.79"
"126","ANWRLoring Trail-S",2004,NA,NA,NA,NA,NA,"MHN",46.94426,-67.86518,5,45.523678645614,"ME","-0.83"
"127","ANWRLoring Trail-S",2005,NA,NA,NA,NA,NA,"MHN",46.94426,-67.86518,5,45.523678645614,"ME","-0.83"
"128","ANWRLoring Trail-S",2006,NA,NA,NA,NA,NA,"MHN",46.94426,-67.86518,5,45.523678645614,"ME","-0.83"
"129","ANWRLoring Trail-S",2007,NA,NA,NA,NA,NA,"MHN",46.94426,-67.86518,5,45.523678645614,"ME","-0.83"
"130","ANWRLoring Trail-S",2008,NA,NA,NA,NA,NA,"MHN",46.94426,-67.86518,5,45.523678645614,"ME","-0.83"
"131","ANWRLoring Trail-S",2009,NA,NA,NA,NA,NA,"MHN",46.94426,-67.86518,5,45.523678645614,"ME","-0.83"
"132","ANWRLoring Trail-S",2010,NA,NA,NA,NA,NA,"MHN",46.94426,-67.86518,5,45.523678645614,"ME","-0.83"
"133","ANWRLoring Trail-S",2011,NA,NA,NA,NA,NA,"MHN",46.94426,-67.86518,5,45.523678645614,"ME","-0.83"
"134","ANWRLoring Trail-S",2012,NA,NA,NA,NA,NA,"MHN",46.94426,-67.86518,5,45.523678645614,"ME","-0.83"
"135","ANWRLoring Trail-S",2013,NA,NA,NA,NA,NA,"MHN",46.94426,-67.86518,5,45.523678645614,"ME","-0.83"
"122","ANWRLoring Trail-S",2014,30,35,29.5,23,5.75,"MHN",46.94426,-67.86518,5,45.523678645614,"ME","-0.83"
"123","ANWRLoring Trail-S",2015,63,61,27.94,23.25,8.2,"MHN",46.94426,-67.86518,5,45.523678645614,"ME","-0.83"
"124","ANWRLoring Trail-S",2016,60,60,33.02,19,10.5,"MHN",46.94426,-67.86518,5,45.523678645614,"ME","-0.83"
"136","ANWRLoring Trail-S",2017,NA,NA,NA,NA,NA,"MHN",46.94426,-67.86518,5,45.523678645614,"ME","-0.83"
"121","ANWRLoring Trail-S",2018,27,40,33,23,8,"MHN",46.94426,-67.86518,5,45.523678645614,"ME","-0.83"
"125","ANWRLoring Trail-S",2018,27,40,33,23,8,"MHN",46.94426,-67.86518,5,45.523678645614,"ME","-0.83"
"188","ANWRRR-N",2004,NA,NA,NA,NA,NA,"MHN",46.942688,-67.865471,6,45.523678645614,"ME","-1.79"
"189","ANWRRR-N",2005,NA,NA,NA,NA,NA,"MHN",46.942688,-67.865471,6,45.523678645614,"ME","-1.79"
"190","ANWRRR-N",2006,NA,NA,NA,NA,NA,"MHN",46.942688,-67.865471,6,45.523678645614,"ME","-1.79"
"191","ANWRRR-N",2007,NA,NA,NA,NA,NA,"MHN",46.942688,-67.865471,6,45.523678645614,"ME","-1.79"
"192","ANWRRR-N",2008,NA,NA,NA,NA,NA,"MHN",46.942688,-67.865471,6,45.523678645614,"ME","-1.79"
"193","ANWRRR-N",2009,NA,NA,NA,NA,NA,"MHN",46.942688,-67.865471,6,45.523678645614,"ME","-1.79"
"194","ANWRRR-N",2010,NA,NA,NA,NA,NA,"MHN",46.942688,-67.865471,6,45.523678645614,"ME","-1.79"
"195","ANWRRR-N",2011,NA,NA,NA,NA,NA,"MHN",46.942688,-67.865471,6,45.523678645614,"ME","-1.79"
"196","ANWRRR-N",2012,NA,NA,NA,NA,NA,"MHN",46.942688,-67.865471,6,45.523678645614,"ME","-1.79"
"182","ANWRRR-N",2013,0,35,64,42,26,"MHN",46.942688,-67.865471,6,45.523678645614,"ME","-1.79"
"183","ANWRRR-N",2014,72,126,50,39.6,15.35,"MHN",46.942688,-67.865471,6,45.523678645614,"ME","-1.79"
"184","ANWRRR-N",2015,150,61,53.34,126,12.5,"MHN",46.942688,-67.865471,6,45.523678645614,"ME","-1.79"
"185","ANWRRR-N",2016,150,155,45.72,34,13,"MHN",46.942688,-67.865471,6,45.523678645614,"ME","-1.79"
"186","ANWRRR-N",2017,348,64,68.5,38,17.4,"MHN",46.942688,-67.865471,6,45.523678645614,"ME","-1.79"
"187","ANWRRR-N",2018,75,61,40.6,34.5,17.8,"MHN",46.942688,-67.865471,6,45.523678645614,"ME","-1.79"
"173","ANWRRR",2004,NA,NA,NA,NA,NA,"MHN",46.941207,-67.865791,6,45.523678645614,"ME","-1.79"
"174","ANWRRR",2005,NA,NA,NA,NA,NA,"MHN",46.941207,-67.865791,6,45.523678645614,"ME","-1.79"
"175","ANWRRR",2006,NA,NA,NA,NA,NA,"MHN",46.941207,-67.865791,6,45.523678645614,"ME","-1.79"
"176","ANWRRR",2007,NA,NA,NA,NA,NA,"MHN",46.941207,-67.865791,6,45.523678645614,"ME","-1.79"
"177","ANWRRR",2008,NA,NA,NA,NA,NA,"MHN",46.941207,-67.865791,6,45.523678645614,"ME","-1.79"
"178","ANWRRR",2009,NA,NA,NA,NA,NA,"MHN",46.941207,-67.865791,6,45.523678645614,"ME","-1.79"
"179","ANWRRR",2010,NA,NA,NA,NA,NA,"MHN",46.941207,-67.865791,6,45.523678645614,"ME","-1.79"
"180","ANWRRR",2011,NA,NA,NA,NA,NA,"MHN",46.941207,-67.865791,6,45.523678645614,"ME","-1.79"
"181","ANWRRR",2012,NA,NA,NA,NA,NA,"MHN",46.941207,-67.865791,6,45.523678645614,"ME","-1.79"
"167","ANWRRR",2013,6,180,80,48,29,"MHN",46.941207,-67.865791,6,45.523678645614,"ME","-1.79"
"168","ANWRRR",2014,72,5,39,33.7,15.9,"MHN",46.941207,-67.865791,6,45.523678645614,"ME","-1.79"
"169","ANWRRR",2015,40,33,30.48,60,33.1,"MHN",46.941207,-67.865791,6,45.523678645614,"ME","-1.79"
"170","ANWRRR",2016,26,47,38.1,33,13.5,"MHN",46.941207,-67.865791,6,45.523678645614,"ME","-1.79"
"171","ANWRRR",2017,80,97,70,33.2,26,"MHN",46.941207,-67.865791,6,45.523678645614,"ME","-1.79"
"172","ANWRRR",2018,100,74,50.8,32.4,21,"MHN",46.941207,-67.865791,6,45.523678645614,"ME","-1.79"
"143","ANWRNEBR",2004,NA,NA,NA,NA,NA,"MHN",46.939834,-67.934616,6,45.523678645614,"ME","-1.79"
"144","ANWRNEBR",2005,NA,NA,NA,NA,NA,"MHN",46.939834,-67.934616,6,45.523678645614,"ME","-1.79"
"145","ANWRNEBR",2006,NA,NA,NA,NA,NA,"MHN",46.939834,-67.934616,6,45.523678645614,"ME","-1.79"
"146","ANWRNEBR",2007,NA,NA,NA,NA,NA,"MHN",46.939834,-67.934616,6,45.523678645614,"ME","-1.79"
"147","ANWRNEBR",2008,NA,NA,NA,NA,NA,"MHN",46.939834,-67.934616,6,45.523678645614,"ME","-1.79"
"148","ANWRNEBR",2009,NA,NA,NA,NA,NA,"MHN",46.939834,-67.934616,6,45.523678645614,"ME","-1.79"
"149","ANWRNEBR",2010,NA,NA,NA,NA,NA,"MHN",46.939834,-67.934616,6,45.523678645614,"ME","-1.79"
"150","ANWRNEBR",2011,NA,NA,NA,NA,NA,"MHN",46.939834,-67.934616,6,45.523678645614,"ME","-1.79"
"151","ANWRNEBR",2012,NA,NA,NA,NA,NA,"MHN",46.939834,-67.934616,6,45.523678645614,"ME","-1.79"
"137","ANWRNEBR",2013,2,0,45,22,9,"MHN",46.939834,-67.934616,6,45.523678645614,"ME","-1.79"
"138","ANWRNEBR",2014,27,0,33,17.5,8.5,"MHN",46.939834,-67.934616,6,45.523678645614,"ME","-1.79"
"139","ANWRNEBR",2015,45,9,17,18.25,9.5,"MHN",46.939834,-67.934616,6,45.523678645614,"ME","-1.79"
"140","ANWRNEBR",2016,23,0,48.26,17.7,11,"MHN",46.939834,-67.934616,6,45.523678645614,"ME","-1.79"
"141","ANWRNEBR",2017,35,0,80,17.4,10.25,"MHN",46.939834,-67.934616,6,45.523678645614,"ME","-1.79"
"142","ANWRNEBR",2018,36,5,55.8,16.7,9,"MHN",46.939834,-67.934616,6,45.523678645614,"ME","-1.79"
"16","ANWR56b",2004,0,0,18,26,8.3,"MHN",46.93305556,-67.86527778,4,45.523678645614,"ME","-1.79"
"20","ANWR56b",2005,NA,NA,NA,NA,NA,"MHN",46.93305556,-67.86527778,4,45.523678645614,"ME","-1.79"
"21","ANWR56b",2006,NA,NA,NA,NA,NA,"MHN",46.93305556,-67.86527778,4,45.523678645614,"ME","-1.79"
"22","ANWR56b",2007,NA,NA,NA,NA,NA,"MHN",46.93305556,-67.86527778,4,45.523678645614,"ME","-1.79"
"23","ANWR56b",2008,NA,NA,NA,NA,NA,"MHN",46.93305556,-67.86527778,4,45.523678645614,"ME","-1.79"
"24","ANWR56b",2009,NA,NA,NA,NA,NA,"MHN",46.93305556,-67.86527778,4,45.523678645614,"ME","-1.79"
"25","ANWR56b",2010,NA,NA,NA,NA,NA,"MHN",46.93305556,-67.86527778,4,45.523678645614,"ME","-1.79"
"26","ANWR56b",2011,NA,NA,NA,NA,NA,"MHN",46.93305556,-67.86527778,4,45.523678645614,"ME","-1.79"
"27","ANWR56b",2012,NA,NA,NA,NA,NA,"MHN",46.93305556,-67.86527778,4,45.523678645614,"ME","-1.79"
"17","ANWR56b",2013,260,2,32,43,21,"MHN",46.93305556,-67.86527778,4,45.523678645614,"ME","-1.79"
"18","ANWR56b",2014,5,1,25,23.7,11.5,"MHN",46.93305556,-67.86527778,4,45.523678645614,"ME","-1.79"
"19","ANWR56b",2015,7,10,26.67,35.05,13.4,"MHN",46.93305556,-67.86527778,4,45.523678645614,"ME","-1.79"
"28","ANWR56b",2016,NA,NA,NA,NA,NA,"MHN",46.93305556,-67.86527778,4,45.523678645614,"ME","-1.79"
"29","ANWR56b",2017,NA,NA,NA,NA,NA,"MHN",46.93305556,-67.86527778,4,45.523678645614,"ME","-1.79"
"30","ANWR56b",2018,NA,NA,NA,NA,NA,"MHN",46.93305556,-67.86527778,4,45.523678645614,"ME","-1.79"
"37","ANWRGRNLAW",2004,NA,NA,NA,NA,NA,"MHN",46.930441,-67.900555,6,45.523678645614,"ME","-1.79"
"38","ANWRGRNLAW",2005,NA,NA,NA,NA,NA,"MHN",46.930441,-67.900555,6,45.523678645614,"ME","-1.79"
"39","ANWRGRNLAW",2006,NA,NA,NA,NA,NA,"MHN",46.930441,-67.900555,6,45.523678645614,"ME","-1.79"
"40","ANWRGRNLAW",2007,NA,NA,NA,NA,NA,"MHN",46.930441,-67.900555,6,45.523678645614,"ME","-1.79"
"41","ANWRGRNLAW",2008,NA,NA,NA,NA,NA,"MHN",46.930441,-67.900555,6,45.523678645614,"ME","-1.79"
"42","ANWRGRNLAW",2009,NA,NA,NA,NA,NA,"MHN",46.930441,-67.900555,6,45.523678645614,"ME","-1.79"
"43","ANWRGRNLAW",2010,NA,NA,NA,NA,NA,"MHN",46.930441,-67.900555,6,45.523678645614,"ME","-1.79"
"44","ANWRGRNLAW",2011,NA,NA,NA,NA,NA,"MHN",46.930441,-67.900555,6,45.523678645614,"ME","-1.79"
"45","ANWRGRNLAW",2012,NA,NA,NA,NA,NA,"MHN",46.930441,-67.900555,6,45.523678645614,"ME","-1.79"
"31","ANWRGRNLAW",2013,2,0,88,72,19,"MHN",46.930441,-67.900555,6,45.523678645614,"ME","-1.79"
"32","ANWRGRNLAW",2014,12,4,55,46.9,13.45,"MHN",46.930441,-67.900555,6,45.523678645614,"ME","-1.79"
"33","ANWRGRNLAW",2015,21,18,54.61,50,19.6,"MHN",46.930441,-67.900555,6,45.523678645614,"ME","-1.79"
"34","ANWRGRNLAW",2016,3,9,58.42,56,16,"MHN",46.930441,-67.900555,6,45.523678645614,"ME","-1.79"
"35","ANWRGRNLAW",2017,65,12,88.9,61,19,"MHN",46.930441,-67.900555,6,45.523678645614,"ME","-1.79"
"36","ANWRGRNLAW",2018,5,24,62.2,50,18.4,"MHN",46.930441,-67.900555,6,45.523678645614,"ME","-1.79"
"80","ANWRGRNLW15-6",2004,NA,NA,NA,NA,NA,"MHN",46.92585,-67.92207,4,45.523678645614,"ME","-1.79"
"81","ANWRGRNLW15-6",2005,NA,NA,NA,NA,NA,"MHN",46.92585,-67.92207,4,45.523678645614,"ME","-1.79"
"82","ANWRGRNLW15-6",2006,NA,NA,NA,NA,NA,"MHN",46.92585,-67.92207,4,45.523678645614,"ME","-1.79"
"83","ANWRGRNLW15-6",2007,NA,NA,NA,NA,NA,"MHN",46.92585,-67.92207,4,45.523678645614,"ME","-1.79"
"84","ANWRGRNLW15-6",2008,NA,NA,NA,NA,NA,"MHN",46.92585,-67.92207,4,45.523678645614,"ME","-1.79"
"85","ANWRGRNLW15-6",2009,NA,NA,NA,NA,NA,"MHN",46.92585,-67.92207,4,45.523678645614,"ME","-1.79"
"86","ANWRGRNLW15-6",2010,NA,NA,NA,NA,NA,"MHN",46.92585,-67.92207,4,45.523678645614,"ME","-1.79"
"87","ANWRGRNLW15-6",2011,NA,NA,NA,NA,NA,"MHN",46.92585,-67.92207,4,45.523678645614,"ME","-1.79"
"88","ANWRGRNLW15-6",2012,NA,NA,NA,NA,NA,"MHN",46.92585,-67.92207,4,45.523678645614,"ME","-1.79"
"89","ANWRGRNLW15-6",2013,NA,NA,NA,NA,NA,"MHN",46.92585,-67.92207,4,45.523678645614,"ME","-1.79"
"90","ANWRGRNLW15-6",2014,NA,NA,NA,NA,NA,"MHN",46.92585,-67.92207,4,45.523678645614,"ME","-1.79"
"76","ANWRGRNLW15-6",2015,20,4,33.02,10.65,7.7,"MHN",46.92585,-67.92207,4,45.523678645614,"ME","-1.79"
"77","ANWRGRNLW15-6",2016,3,4,9,10.4,22.86,"MHN",46.92585,-67.92207,4,45.523678645614,"ME","-1.79"
"78","ANWRGRNLW15-6",2017,2,0,40.6,12.9,8.6,"MHN",46.92585,-67.92207,4,45.523678645614,"ME","-1.79"
"79","ANWRGRNLW15-6",2018,1,6,38.1,10,8.8,"MHN",46.92585,-67.92207,4,45.523678645614,"ME","-1.79"
"50","ANWRGRNLW15-2",2004,NA,NA,NA,NA,NA,"MHN",46.92263,-67.9075,4,45.523678645614,"ME","-1.79"
"51","ANWRGRNLW15-2",2005,NA,NA,NA,NA,NA,"MHN",46.92263,-67.9075,4,45.523678645614,"ME","-1.79"
"52","ANWRGRNLW15-2",2006,NA,NA,NA,NA,NA,"MHN",46.92263,-67.9075,4,45.523678645614,"ME","-1.79"
"53","ANWRGRNLW15-2",2007,NA,NA,NA,NA,NA,"MHN",46.92263,-67.9075,4,45.523678645614,"ME","-1.79"
"54","ANWRGRNLW15-2",2008,NA,NA,NA,NA,NA,"MHN",46.92263,-67.9075,4,45.523678645614,"ME","-1.79"
"55","ANWRGRNLW15-2",2009,NA,NA,NA,NA,NA,"MHN",46.92263,-67.9075,4,45.523678645614,"ME","-1.79"
"56","ANWRGRNLW15-2",2010,NA,NA,NA,NA,NA,"MHN",46.92263,-67.9075,4,45.523678645614,"ME","-1.79"
"57","ANWRGRNLW15-2",2011,NA,NA,NA,NA,NA,"MHN",46.92263,-67.9075,4,45.523678645614,"ME","-1.79"
"58","ANWRGRNLW15-2",2012,NA,NA,NA,NA,NA,"MHN",46.92263,-67.9075,4,45.523678645614,"ME","-1.79"
"59","ANWRGRNLW15-2",2013,NA,NA,NA,NA,NA,"MHN",46.92263,-67.9075,4,45.523678645614,"ME","-1.79"
"60","ANWRGRNLW15-2",2014,NA,NA,NA,NA,NA,"MHN",46.92263,-67.9075,4,45.523678645614,"ME","-1.79"
"46","ANWRGRNLW15-2",2015,50,12,38,17,7.8,"MHN",46.92263,-67.9075,4,45.523678645614,"ME","-1.79"
"47","ANWRGRNLW15-2",2016,54,22,80.48,8.4,4.8,"MHN",46.92263,-67.9075,4,45.523678645614,"ME","-1.79"
"48","ANWRGRNLW15-2",2017,111,30,17.2,6.7,124.5,"MHN",46.92263,-67.9075,4,45.523678645614,"ME","-1.79"
"49","ANWRGRNLW15-2",2018,97,20,45.7,13,7.3,"MHN",46.92263,-67.9075,4,45.523678645614,"ME","-1.79"
"65","ANWRGRNLW15-3",2004,NA,NA,NA,NA,NA,"MHN",46.92216,-67.90955,4,45.523678645614,"ME","-1.79"
"66","ANWRGRNLW15-3",2005,NA,NA,NA,NA,NA,"MHN",46.92216,-67.90955,4,45.523678645614,"ME","-1.79"
"67","ANWRGRNLW15-3",2006,NA,NA,NA,NA,NA,"MHN",46.92216,-67.90955,4,45.523678645614,"ME","-1.79"
"68","ANWRGRNLW15-3",2007,NA,NA,NA,NA,NA,"MHN",46.92216,-67.90955,4,45.523678645614,"ME","-1.79"
"69","ANWRGRNLW15-3",2008,NA,NA,NA,NA,NA,"MHN",46.92216,-67.90955,4,45.523678645614,"ME","-1.79"
"70","ANWRGRNLW15-3",2009,NA,NA,NA,NA,NA,"MHN",46.92216,-67.90955,4,45.523678645614,"ME","-1.79"
"71","ANWRGRNLW15-3",2010,NA,NA,NA,NA,NA,"MHN",46.92216,-67.90955,4,45.523678645614,"ME","-1.79"
"72","ANWRGRNLW15-3",2011,NA,NA,NA,NA,NA,"MHN",46.92216,-67.90955,4,45.523678645614,"ME","-1.79"
"73","ANWRGRNLW15-3",2012,NA,NA,NA,NA,NA,"MHN",46.92216,-67.90955,4,45.523678645614,"ME","-1.79"
"74","ANWRGRNLW15-3",2013,NA,NA,NA,NA,NA,"MHN",46.92216,-67.90955,4,45.523678645614,"ME","-1.79"
"75","ANWRGRNLW15-3",2014,NA,NA,NA,NA,NA,"MHN",46.92216,-67.90955,4,45.523678645614,"ME","-1.79"
"61","ANWRGRNLW15-3",2015,123,21,40.6,22.5,7,"MHN",46.92216,-67.90955,4,45.523678645614,"ME","-1.79"
"62","ANWRGRNLW15-3",2016,146,34,39.37,31,6.5,"MHN",46.92216,-67.90955,4,45.523678645614,"ME","-1.79"
"63","ANWRGRNLW15-3",2017,204,46,55.8,29.5,6.5,"MHN",46.92216,-67.90955,4,45.523678645614,"ME","-1.79"
"64","ANWRGRNLW15-3",2018,118,34,38,25,9,"MHN",46.92216,-67.90955,4,45.523678645614,"ME","-1.79"
"416","MHNWR131D",2004,NA,NA,NA,NA,NA,"MHN",45.12758333,-67.29888889,9,45.523678645614,"ME","-1.79"
"407","MHNWR131D",2005,0,0,32,80,40,"MHN",45.12758333,-67.29888889,9,45.523678645614,"ME","-1.79"
"408","MHNWR131D",2006,0,1,28,NA,NA,"MHN",45.12758333,-67.29888889,9,45.523678645614,"ME","-1.79"
"409","MHNWR131D",2007,0,0,40,50,11.8,"MHN",45.12758333,-67.29888889,9,45.523678645614,"ME","-1.79"
"417","MHNWR131D",2008,NA,NA,NA,NA,NA,"MHN",45.12758333,-67.29888889,9,45.523678645614,"ME","-1.79"
"418","MHNWR131D",2009,NA,NA,NA,NA,NA,"MHN",45.12758333,-67.29888889,9,45.523678645614,"ME","-1.79"
"419","MHNWR131D",2010,NA,NA,NA,NA,NA,"MHN",45.12758333,-67.29888889,9,45.523678645614,"ME","-1.79"
"420","MHNWR131D",2011,NA,NA,NA,NA,NA,"MHN",45.12758333,-67.29888889,9,45.523678645614,"ME","-1.79"
"421","MHNWR131D",2012,NA,NA,NA,NA,NA,"MHN",45.12758333,-67.29888889,9,45.523678645614,"ME","-1.79"
"410","MHNWR131D",2013,0,0,23,17.8,10,"MHN",45.12758333,-67.29888889,9,45.523678645614,"ME","-1.79"
"411","MHNWR131D",2014,0,12,42,41,10.2,"MHN",45.12758333,-67.29888889,9,45.523678645614,"ME","-1.79"
"412","MHNWR131D",2015,0,10,34,97.5,20.4,"MHN",45.12758333,-67.29888889,9,45.523678645614,"ME","-1.79"
"413","MHNWR131D",2016,0,1,28,85,6,"MHN",45.12758333,-67.29888889,9,45.523678645614,"ME","-1.79"
"414","MHNWR131D",2017,0,3,40,52,10,"MHN",45.12758333,-67.29888889,9,45.523678645614,"ME","-1.79"
